,x,y,Sx,Sy,Sz
48,1.0,-1.0,-0.054669580471325474,0.35661027996920036,0.34595905280277783
49,1.0,0.0,-0.05466954264742047,0.3566102718974811,0.34595906683702066
50,1.0,1.0,-0.05466956854922489,0.35661027263960815,0.34595906281053473
51,1.0,2.0,-0.054669638686458494,0.3566102857268343,0.3459590398333767
52,1.0,3.0,-0.05466970539207955,0.35661030729713494,0.34595900834003135
53,1.0,4.0,-0.05466972847571949,0.35661032868392356,0.34595898346953563
54,2.0,-4.0,-0.0546697235127888,0.3566103382776615,0.3459589730734917
55,2.0,-3.0,-0.05466968747598969,0.3566103407025853,0.3459589757934175
56,2.0,-2.0,-0.05466962503314666,0.356610317783145,0.3459590081868304
57,2.0,-1.0,-0.05466956491723006,0.35661028657123206,0.34595904882717676
58,2.0,0.0,-0.054669537377691924,0.35661026568110465,0.34595907447546104
59,2.0,1.0,-0.05466957999536942,0.3566102654054307,0.3459590686474532
60,2.0,2.0,-0.05466965983566632,0.35661027511582144,0.3459590470222904
61,2.0,3.0,-0.05466972128644752,0.35661030243643294,0.3459590095512923
62,2.0,4.0,-0.05466973541679969,0.35661031656287706,0.34595899339499997
63,3.0,-4.0,-0.05466972137787965,0.35661031752714445,0.34595899386025974
64,3.0,-3.0,-0.05466968493305452,0.3566103272248932,0.34595898941409836
65,3.0,-2.0,-0.05466962225050989,0.35661032089815003,0.3459590050566396
66,3.0,-1.0,-0.054669574546786344,0.35661028775490194,0.34595904592204413
67,3.0,0.0,-0.054669561022314114,0.3566102622150725,0.345959074278779
68,3.0,1.0,-0.05466960345730806,0.3566102625322766,0.34595906765076195
69,3.0,2.0,-0.05466966556651137,0.35661027595739836,0.3459590445503109
70,3.0,3.0,-0.05466972469141159,0.35661029307324654,0.3459590178485984
71,3.0,4.0,-0.05466974333265634,0.3566103053842755,0.3459590027589219
72,4.0,-4.0,-0.05466972754956084,0.35661030858635656,0.34595900170312277
73,4.0,-3.0,-0.054669678928276656,0.35661032134252585,0.3459589960550463
74,4.0,-2.0,-0.05466962815939996,0.3566103179486183,0.3459590067808102
75,4.0,-1.0,-0.05466959395227809,0.3566102899677197,0.3459590403409341
76,4.0,0.0,-0.054669592380554334,0.35661027198905065,0.34595905891165163
